epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,38490.6,0.50714,0.38302,0.95595,0.97468,0.96322,0.97791,0.89775,0.50989,0.28671,0.88619,0.001684,0.001684,0.001684
128,38793.2,0.507,0.38579,0.95783,0.97474,0.96309,0.97797,0.89744,0.50952,0.28722,0.886,0.001618,0.001618,0.001618
129,39096.2,0.50138,0.38037,0.95462,0.97479,0.96469,0.97794,0.89698,0.50916,0.28689,0.88581,0.001552,0.001552,0.001552
130,39398.4,0.50447,0.38576,0.95503,0.97512,0.96422,0.97796,0.89767,0.50909,0.28632,0.88575,0.001486,0.001486,0.001486
131,39701.3,0.49783,0.37039,0.95112,0.97473,0.96559,0.97795,0.89769,0.50908,0.28623,0.88572,0.00142,0.00142,0.00142
132,40004.7,0.50291,0.38128,0.95463,0.97471,0.96559,0.97795,0.89725,0.50951,0.28636,0.88601,0.001354,0.001354,0.001354
133,40307.4,0.49025,0.37562,0.95016,0.97469,0.96559,0.97796,0.89759,0.50933,0.28614,0.88612,0.001288,0.001288,0.001288
134,40610.6,0.49295,0.37698,0.95091,0.97489,0.96559,0.97799,0.89799,0.50932,0.28623,0.88625,0.001222,0.001222,0.001222
135,40913.9,0.48402,0.36847,0.94722,0.97533,0.96559,0.97802,0.89785,0.50954,0.28604,0.8862,0.001156,0.001156,0.001156
136,41216.9,0.48878,0.36161,0.95033,0.97565,0.96559,0.97806,0.8986,0.50939,0.28554,0.88619,0.00109,0.00109,0.00109
137,41520.1,0.48496,0.36792,0.95226,0.97578,0.96559,0.97811,0.89807,0.50934,0.28566,0.88606,0.001024,0.001024,0.001024
138,41823.1,0.48513,0.36935,0.94782,0.97583,0.96559,0.97814,0.89828,0.50925,0.28576,0.88613,0.000958,0.000958,0.000958
139,42126.1,0.48072,0.36669,0.94303,0.9758,0.96559,0.97812,0.89772,0.5095,0.28546,0.88623,0.000892,0.000892,0.000892
140,42428.8,0.47481,0.35757,0.94131,0.97544,0.96578,0.97816,0.89802,0.50927,0.28533,0.8862,0.000826,0.000826,0.000826
141,42718.8,0.40937,0.26553,0.89495,0.97536,0.96598,0.97819,0.89867,0.50964,0.28504,0.88652,0.00076,0.00076,0.00076
142,43009.1,0.39785,0.25775,0.88809,0.97542,0.96607,0.97821,0.89849,0.50979,0.28529,0.88693,0.000694,0.000694,0.000694
143,43299.1,0.3972,0.25824,0.88792,0.97535,0.96613,0.97834,0.89842,0.50995,0.28486,0.88699,0.000628,0.000628,0.000628
144,43590.2,0.38938,0.25319,0.88756,0.97531,0.96624,0.97829,0.89874,0.50996,0.28397,0.88691,0.000562,0.000562,0.000562
145,43880.8,0.38326,0.24849,0.88037,0.97532,0.96636,0.97838,0.89895,0.51027,0.2837,0.88707,0.000496,0.000496,0.000496
146,44171.2,0.3782,0.24393,0.88159,0.9752,0.9666,0.97842,0.89951,0.51008,0.28401,0.887,0.00043,0.00043,0.00043
147,44461.9,0.37608,0.24216,0.8793,0.97509,0.96665,0.97846,0.89964,0.51022,0.28372,0.88712,0.000364,0.000364,0.000364
148,44752.6,0.37328,0.23969,0.87868,0.97518,0.96665,0.9785,0.89945,0.50996,0.28262,0.88704,0.000298,0.000298,0.000298
149,45043.5,0.372,0.2404,0.87466,0.97507,0.96665,0.97858,0.89977,0.50977,0.28272,0.88707,0.000232,0.000232,0.000232
150,45334.6,0.36843,0.2392,0.87868,0.97489,0.96665,0.97858,0.89997,0.50953,0.28259,0.88698,0.000166,0.000166,0.000166
